1.960E+02	6.325E+01	9.917900E-01	8.79E-03
1.910E+02	6.491E+01	9.916900E-01	9.46E-03
1.870E+02	6.630E+01	9.916700E-01	1.00E-02
1.820E+02	6.812E+01	9.916400E-01	1.07E-02
1.780E+02	6.965E+01	9.916400E-01	1.14E-02
1.740E+02	7.125E+01	9.916700E-01	1.21E-02
1.700E+02	7.293E+01	9.917600E-01	1.28E-02
1.660E+02	7.469E+01	9.923500E-01	1.45E-02
1.620E+02	7.653E+01	9.923500E-01	1.45E-02
1.580E+02	7.847E+01	9.928700E-01	1.52E-02
1.540E+02	8.051E+01	9.934000E-01	1.57E-02
1.500E+02	8.266E+01	9.938400E-01	1.62E-02
1.470E+02	8.434E+01	9.941500E-01	1.66E-02
1.430E+02	8.670E+01	9.946000E-01	1.72E-02
1.400E+02	8.856E+01	9.949600E-01	1.77E-02
1.360E+02	9.116E+01	9.954900E-01	1.83E-02
1.330E+02	9.322E+01	9.959400E-01	1.88E-02
1.300E+02	9.537E+01	9.964500E-01	1.94E-02
1.270E+02	9.762E+01	9.970500E-01	2.00E-02
1.240E+02	9.998E+01	9.977300E-01	2.06E-02
1.210E+02	1.025E+02	9.985600E-01	2.12E-02
1.180E+02	1.051E+02	9.995800E-01	2.19E-02
1.150E+02	1.078E+02	1.000800E+00	2.26E-02
1.120E+02	1.107E+02	1.002400E+00	2.33E-02
1.100E+02	1.127E+02	1.003900E+00	2.39E-02
			
1.070E+02	1.159E+02	1.007000E+00	2.47E-02
1.040E+02	1.192E+02	1.013200E+00	2.56E-02
1.020E+02	1.216E+02	1.024100E+00	2.62E-02
1.016E+02	1.220E+02	1.025000E+00	2.40E-02
1.008E+02	1.230E+02	1.030000E+00	5.00E-03
1.000E+02	1.240E+02	1.032000E+00	1.54E-03
9.919E+01	1.250E+02	1.034000E+00	1.00E-03
9.840E+01	1.260E+02	1.034000E+00	1.02E-03
9.686E+01	1.280E+02	1.034000E+00	1.09E-03
9.537E+01	1.300E+02	1.030000E+00	1.13E-03
9.393E+01	1.320E+02	1.022000E+00	1.20E-03
9.117E+01	1.360E+02	1.008000E+00	1.30E-03
8.856E+01	1.400E+02	1.000000E+00	1.43E-03
8.266E+01	1.500E+02	9.930000E-01	1.78E-03
7.749E+01	1.600E+02	9.910000E-01	2.15E-03
7.293E+01	1.700E+02	9.880000E-01	2.54E-03
6.888E+01	1.800E+02	9.850000E-01	2.97E-03
6.526E+01	1.900E+02	9.820000E-01	3.43E-03
6.199E+01	2.000E+02	9.780000E-01	3.93E-03
